"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"101",7,"Robert Woods",TEN,"WR43","6","3 out of 5 stars","+2"
"102",7,"Matthew Stafford",LAR,"QB12","7","3 out of 5 stars","0"
"103",7,"Aaron Rodgers",GB,"QB13","14","2 out of 5 stars","-14"
"104",8,"Kadarius Toney",NYG,"WR44","9","4 out of 5 stars","+14"
"105",8,"Chris Olave",NO,"WR45","14","4 out of 5 stars","0"
"106",8,"Kirk Cousins",MIN,"QB14","7","3 out of 5 stars","+8"
"107",8,"Ken Walker III",SEA,"RB38","11","2 out of 5 stars","-13"
"108",8,"Derek Carr",LV,"QB15","6","2 out of 5 stars","-2"
"109",8,"Treylon Burks",TEN,"WR46","6","3 out of 5 stars","+1"
"110",8,"Cole Kmet",CHI,"TE11","14","5 out of 5 stars","+5"
"111",8,"Darrell Henderson Jr.",LAR,"RB39","7","2 out of 5 stars","+1"
